ID,Company,Model,Segment,Predictia modelului
218,KIA,2012 Kia cee'd,Compact,Compact
219,FIAT,FIAT Panda (2011-Present),Compact,Mini
220,KIA,KIA cee'd (2015-Present),Compact,Compact
221,RENAULT,RENAULT Captur (2019-Present),Compact,Crossover
222,SKODA,SKODA Fabia Combi (2018-Present),Compact,Compact
223,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
224,HYUNDAI,HYUNDAI Ioniq (2019-Present),Compact,Compact
225,CITROEN,CITROEN C3 (2019-Present),Compact,Small
226,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
227,DACIA,DACIA Logan MCV Stepway (2017-Present),Compact,Compact
228,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
229,SUZUKI,SUZUKI Swift Sport (2017-Present),Compact,Crossover
230,CITROEN,CITROEN DS5 (2011-Present),Compact,Compact
231,FORD,FORD Fusion (2018-Present),Compact,Lower Premium
232,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Entry Premium
233,BMW,BMW 1 Series (F40) (2019-Present),Compact,Compact
234,SKODA,SKODA Rapid (2012-Present),Compact,Compact
235,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Entry Premium
236,DACIA,DACIA Logan MCV Stepway (2017-Present),Compact,Compact
237,NISSAN,NISSAN Pulsar (2014-Present),Compact,Compact
238,SEAT,2015 Seat Leon ST Cupra,Compact,Compact
239,CITROEN,CITROEN DS5 (2011-Present),Compact,Compact
240,AUDI,AUDI A3 Sedan (2020-Present),Compact,Compact
241,SEAT,SEAT Leon Cupra (2013-Present),Compact,Compact
242,KIA,2012 Kia cee'd,Compact,Compact
243,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
244,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Compact
245,SEAT,SEAT Leon Cupra (2013-Present),Compact,Compact
246,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Mini
247,TOYOTA,TOYOTA AURIS (2018-Present),Compact,Compact
248,NISSAN,NISSAN Primera Sedan (2002-Present),Compact,Compact
249,CITROEN,2013 Citroen C-Elysee,Compact,Compact
250,CITROEN,2013 Citroen C-Elysee,Compact,Compact
251,TOYOTA,TOYOTA Corolla (2018-Present),Compact,Compact
