Company,Model,Silhouette
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.5431236004446575
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.5199000352470836
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.5098839351130002
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.5255414367576954
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.45128531401382266
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.44507473191671965
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.44978638053098524
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),0.3815478130263249
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.5434012680636342
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.5461960637032284
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.46384856190984325
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.3210065794465782
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),-0.04464046283398524
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),-0.04928407829240494
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),-0.031898450489996
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.5090302224593455
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.503925479514647
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.4366481205237589
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.43033792748057575
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),0.3593608382857079
BMW,BMW Z4 (G29) (2018-Present),0.37012433161253744
BMW,BMW Z4 (G29) (2018-Present),0.28353737632744813
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.36211249936613
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.3699156382644027
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.3451341337500518
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.3633523187436903
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.20406066930350225
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.18394178866903163
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.09383297491007109
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.11763096232613889
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.44019861218774536
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.43896170614722113
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.3426561703911508
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.34919265961976603
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.3285873898090062
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.3371926417766584
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.2307720107484945
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.07049010610612103
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),0.15890478993221874
BMW,BMW M4 CS (F82) (2017-Present),0.2440918274972097
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),0.5506162536729601
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),0.5509502690853223
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),0.22661651637502617
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),0.5090345016343928
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),0.5055184297248156
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),0.4390175889995184
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),0.442430519800552
BMW,2020 BMW 8 Series Gran Coupe,0.26309480729968426
BMW,2020 BMW 8 Series Gran Coupe,0.27643351880736605
BMW,2020 BMW 8 Series Gran Coupe,0.4093978322406576
BMW,2020 BMW 8 Series Gran Coupe,0.2982646351130314
BMW,BMW M8 Gran Coupe (2022-Present),0.4071206771277289
BMW,BMW X3 M (F97) (2021-Present),0.3448625612886302
BMW,BMW X3 M (F97) (2019-Present),0.32254106351947515
BMW,BMW X3 M (F97) (2019-Present),0.34349239264008075
