Company,Model,F1,F2
AUDI,AUDI A7 Sportback (2017-Present),0.5900431200905204,0.5815615287347519
AUDI,AUDI A7 Sportback (2017-Present),1.1405550068881471,0.339078414614479
AUDI,AUDI A7 Sportback (2017-Present),0.4174550894353229,0.6766188096498025
AUDI,AUDI A7 Sportback (2017-Present),1.11242210935589,0.4452173141544998
AUDI,AUDI A7 Sportback (2017-Present),0.9931951843120377,0.5050267703495921
AUDI,AUDI A8 (2017-Present),1.1507199115449158,0.8810185333428543
AUDI,AUDI A8 (2017-Present),1.266263198562584,0.9992077558817609
AUDI,AUDI A8 L (2017-Present),1.1305126779602233,1.272847063120724
AUDI,AUDI A8 L (2017-Present),1.1030011520903917,1.346102685357012
AUDI,AUDI A8 L (2017-Present),1.2090400516138353,1.3091742981611214
AUDI,AUDI A5 (2016-Present),0.5413580669846041,-0.5662497509272985
AUDI,AUDI A5 (2016-Present),0.3983834012647653,-0.4160381858835931
AUDI,AUDI A5 (2016-Present),0.70287217743277,-0.5580015674644514
AUDI,AUDI A5 (2016-Present),0.7235346156718347,-0.4779106247153981
AUDI,AUDI A5 (2016-Present),0.4222897603541093,-0.3642820658745587
AUDI,AUDI A5 (2016-Present),0.39787886199702716,-0.30844608475582524
AUDI,AUDI A5 (2016-Present),0.37247050592216613,-0.16957466654660586
AUDI,AUDI A5 (2016-Present),-0.00986239228718365,0.023818524993444914
AUDI,AUDI A5 (2016-Present),0.8763400226895123,-0.5563237731783466
AUDI,AUDI A5 (2016-Present),0.891179452023632,-0.4581220094809656
AUDI,AUDI A3 Cabriolet (2016-Present),-0.5150833035425494,-0.44442618714623844
AUDI,AUDI A3 Cabriolet (2016-Present),-0.5162341881476874,-0.41968837426966865
AUDI,AUDI A3 Cabriolet (2016-Present),-0.06961165597680756,-0.7525428826494415
AUDI,AUDI A3 Cabriolet (2016-Present),-0.0714776566490735,-0.7218209433475843
AUDI,AUDI A3 Cabriolet (2016-Present),0.5262118241215594,-0.866589706346381
AUDI,AUDI A3 Cabriolet (2016-Present),0.13578040361286423,-0.7014347533013036
AUDI,AUDI A3 Cabriolet (2016-Present),0.13330999974476804,-0.7381595599260303
AUDI,AUDI A3 Cabriolet (2016-Present),0.4440364491827773,-0.7374133068725488
AUDI,AUDI A3 Cabriolet (2016-Present),0.08396405836760183,-0.5647042616579457
AUDI,AUDI A5 Cabriolet (2012-Present),0.07397346248350804,0.10321899787605768
