ID,Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity,Partition
55,CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Gasoline,140.0,201.0,1364.0,177.7,70.7,58.1,105.7,14.6,3073.0,121.0,9.3,42.0,15.9,Antrenament
56,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Diesel,95.0,210.0,1248.0,158.3,68.3,58.2,98.8,10.1,2727.0,113.0,13.5,71.3,11.9,Antrenament
57,OPEL,OPEL Astra GTC (2011-Present),Compact,Diesel,131.0,300.0,1686.0,175.8,72.4,58.3,106.1,13.1,2912.0,122.0,10.8,52.0,14.8,Antrenament
58,SEAT,SEAT Ibiza 5 doors (2017-Present),Compact,Gasoline,150.0,250.0,1498.0,159.8,76.5,56.9,100.9,12.5,2445.0,136.0,8.2,48.0,10.6,Antrenament
59,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Gasoline,69.0,115.0,1229.0,158.3,68.3,58.2,98.8,10.1,2469.0,101.0,16.0,43.6,11.9,Antrenament
60,KIA,2019 Kia ProCeed,Compact,Diesel,136.0,280.0,1598.0,181.3,70.9,56.0,104.3,21.0,3230.0,124.0,10.1,56.0,13.2,Antrenament
61,MINI,MINI Mini Cooper 3-door (2021-Present),Compact,Gasoline,306.0,320.0,1499.0,152.1,68.0,55.7,98.2,7.5,2546.0,120.0,6.1,43.6,10.6,Antrenament
62,SKODA,SKODA Fabia Combi (2018-Present),Compact,Gasoline,95.0,160.0,999.0,195.4,68.2,57.8,97.2,18.7,2515.0,115.0,10.9,52.3,11.9,Antrenament
63,MINI,MINI Mini Cooper 3-door (2021-Present),Compact,Gasoline,75.0,160.0,1499.0,152.1,68.0,55.7,98.2,7.5,2546.0,120.0,10.3,44.4,10.6,Antrenament
64,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Gasoline,136.0,200.0,1332.0,179.1,70.7,56.9,107.4,14.8,2844.0,134.0,9.3,45.2,11.4,Antrenament
65,BMW,BMW M8 Gran Coupe (2022-Present),Compact,Gasoline,625.0,750.0,4395.0,200.7,76.5,55.9,119.2,15.5,4398.0,155.0,3.2,20.3,18.0,Antrenament
66,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Diesel,95.0,190.0,1248.0,158.3,68.3,58.2,98.8,10.1,2643.0,110.0,12.3,61.9,11.9,Antrenament
